rmse	mae	r	r2	auc	tp	fp	tn	fn	tpr	fpr	error	sens	spec	precision	youden
0.058961209687231286	0.18211782935394086	0.026434018860365737	0.00069875735311017147	0.43427678571428574	0	384	2816	35	0.0	0.12	0.1295208655332303	0.0	0.88	0.0	-0.12
0.087196455897318351	0.22379928599690863	0.023875975097661348	0.0005700621868641448	0.3880223214285714	0	162	3038	35	0.0	0.050625	0.06089644513137558	0.0	0.949375	0.0	-0.05062500000000003
0.11872154545230522	0.26682929522720261	-0.0093549749546294712	8.7515556401744683e-05	0.47908482142857145	0	143	3057	35	0.0	0.0446875	0.05502318392581144	0.0	0.9553125	0.0	-0.04468749999999999
0.1204666773741178	0.26338062843894788	0.0014318662525582022	2.050240965215069e-06	0.41152232142857148	1	245	2955	34	0.02857142857142857	0.0765625	0.08624420401854714	0.02857142857142857	0.9234375	0.0040650406504065045	-0.0479910714285714
1.0890545406433021	0.81733635820711104	0.017764058338315198	0.00031556176864706571	0.29581250000000003	0	527	2673	35	0.0	0.1646875	0.17372488408037096	0.0	0.8353125	0.0	-0.1646875
0.53224083210681483	0.56834554825347539	0.012481318291360469	0.0001557833062902494	0.38970089285714282	0	442	2758	35	0.0	0.138125	0.14744976816074187	0.0	0.861875	0.0	-0.13812500000000005
0.20499178850204486	0.34845548185471398	0.015282919486494212	0.00023356762803066451	0.25720535714285719	0	505	2695	35	0.0	0.1578125	0.16692426584234932	0.0	0.8421875	0.0	-0.15781250000000002
0.45943703464858393	0.49759931443585842	-0.0060807148964329384	3.6975093651701443e-05	0.42677232142857147	2	436	2764	33	0.05714285714285714	0.13625	0.14497681607418855	0.05714285714285714	0.86375	0.0045662100456621	-0.07910714285714282
0.88993460539955038	0.7014488385780514	-0.005759051672051237	3.3166676161356148e-05	0.29823660714285716	0	578	2622	35	0.0	0.180625	0.18948995363214838	0.0	0.819375	0.0	-0.18062500000000004
0.34912755157797315	0.45804855332302924	0.0019001310186347385	3.610497887977889e-06	0.43987053571428569	0	460	2740	35	0.0	0.14375	0.15301391035548687	0.0	0.85625	0.0	-0.14375000000000004
0.24989141184912084	0.34649241049150015	0.010703624336121483	0.00011456757392881206	0.3211741071428571	0	397	2803	35	0.0	0.1240625	0.13353941267387945	0.0	0.8759375	0.0	-0.12406249999999996
